1;animals;a;25;20
2;animals;b;34;10
3;animals;c;42;10
4;animals;d;13;40
5;animals;e;12;40
6;animals;f;13;40
7;animals;g;28;20
8;animals;h;19;20
9;animals;i;3;160
10;animals;j;6;80
11;animals;k;10;50
12;animals;l;20;20
13;animals;m;31;20
14;animals;n;4;120
15;animals;o;20;20
16;animals;p;35;10
17;animals;q;3;160
18;animals;r;16;30
19;animals;s;47;10
20;animals;t;23;20
21;animals;u;1;470
22;animals;v;6;80
23;animals;w;20;20
24;animals;x;2;240
25;animals;y;2;240
26;animals;z;2;240
32;capitals;a;16;20
33;capitals;b;24;10
34;capitals;c;8;30
35;capitals;d;8;30
36;capitals;e;3;80
37;capitals;f;3;80
38;capitals;g;4;60
39;capitals;h;8;30
40;capitals;i;1;240
41;capitals;j;3;80
42;capitals;k;10;20
43;capitals;l;8;30
44;capitals;m;17;10
45;capitals;n;10;20
46;capitals;o;3;80
47;capitals;p;17;10
48;capitals;q;1;240
49;capitals;r;6;40
50;capitals;s;16;20
51;capitals;t;14;20
52;capitals;u;1;240
53;capitals;v;6;40
54;capitals;w;5;50
55;capitals;y;2;120
56;capitals;z;1;240
63;colors;a;51;20
64;colors;b;89;10
65;colors;c;107;10
66;colors;d;105;10
67;colors;e;27;40
68;colors;f;49;20
69;colors;g;28;40
70;colors;h;19;60
71;colors;i;25;40
72;colors;j;13;80
73;colors;k;12;90
74;colors;l;73;10
75;colors;m;101;10
76;colors;n;14;80
77;colors;o;30;40
78;colors;p;106;10
79;colors;q;5;210
80;colors;r;66;20
81;colors;s;102;10
82;colors;t;46;20
83;colors;u;24;40
84;colors;v;39;30
85;colors;w;20;50
86;colors;x;1;1070
87;colors;y;6;180
88;colors;z;3;360
94;countries;a;9;20
95;countries;b;15;10
96;countries;c;12;10
97;countries;d;2;90
98;countries;e;8;20
99;countries;f;3;60
100;countries;g;10;20
101;countries;h;3;60
102;countries;i;9;20
103;countries;j;3;60
104;countries;k;4;40
105;countries;l;7;20
106;countries;m;14;10
107;countries;n;8;20
108;countries;o;1;170
109;countries;p;10;20
110;countries;q;1;170
111;countries;r;3;60
112;countries;s;17;10
113;countries;t;9;20
114;countries;u;7;20
115;countries;v;2;90
116;countries;w;1;170
117;countries;y;1;170
118;countries;z;2;90
125;fruits;a;3;50
126;fruits;b;7;20
127;fruits;c;10;10
128;fruits;d;5;30
129;fruits;e;1;140
130;fruits;f;2;70
131;fruits;g;5;30
132;fruits;h;3;50
133;fruits;j;5;30
134;fruits;k;2;70
135;fruits;l;5;30
136;fruits;m;6;20
137;fruits;n;2;70
138;fruits;o;2;70
139;fruits;p;14;10
140;fruits;q;1;140
141;fruits;r;4;40
142;fruits;s;6;20
143;fruits;t;4;40
144;fruits;u;1;140
145;fruits;w;1;140
146;fruits;y;1;140
156;names;a;1786;10
157;names;b;857;20
158;names;c;986;20
159;names;d;798;20
160;names;e;876;20
161;names;f;540;30
162;names;g;778;20
163;names;h;701;30
164;names;i;528;30
165;names;j;778;20
166;names;k;863;20
167;names;l;862;20
168;names;m;1372;10
169;names;n;597;30
170;names;o;343;50
171;names;p;650;30
172;names;q;44;410
173;names;r;814;20
174;names;s;1307;10
175;names;t;872;20
176;names;u;121;150
177;names;v;434;40
178;names;w;252;70
179;names;x;54;330
180;names;y;269;70
181;names;z;290;60
187;nouns;a;2791;20
188;nouns;b;2497;20
189;nouns;c;4177;10
190;nouns;d;2184;20
191;nouns;e;1553;30
192;nouns;f;1661;30
193;nouns;g;1452;30
194;nouns;h;1645;30
195;nouns;i;1430;30
196;nouns;j;478;100
197;nouns;k;637;80
198;nouns;l;1419;30
199;nouns;m;2404;20
200;nouns;n;903;50
201;nouns;o;920;50
202;nouns;p;3544;10
203;nouns;q;445;110
204;nouns;r;1888;30
205;nouns;s;4884;10
206;nouns;t;2342;20
207;nouns;u;601;80
208;nouns;v;894;50
209;nouns;w;976;50
210;nouns;x;80;610
211;nouns;y;20;2440
212;nouns;z;249;200
218;rivers_africa;a;2;40
219;rivers_africa;b;5;20
220;rivers_africa;c;5;20
221;rivers_africa;d;3;30
222;rivers_africa;e;1;80
223;rivers_africa;g;2;40
224;rivers_africa;i;1;80
225;rivers_africa;j;1;80
226;rivers_africa;k;6;10
227;rivers_africa;l;6;10
228;rivers_africa;m;8;10
229;rivers_africa;n;3;30
230;rivers_africa;o;5;20
231;rivers_africa;r;3;30
232;rivers_africa;s;7;10
233;rivers_africa;t;3;30
234;rivers_africa;u;2;40
235;rivers_africa;v;1;80
236;rivers_africa;w;3;30
237;rivers_africa;z;1;80
249;rivers_america;a;12;10
250;rivers_america;b;2;80
251;rivers_america;c;14;10
252;rivers_america;d;4;40
253;rivers_america;e;4;40
254;rivers_america;f;3;50
255;rivers_america;g;1;150
256;rivers_america;h;2;80
257;rivers_america;i;2;80
258;rivers_america;k;4;40
259;rivers_america;l;5;30
260;rivers_america;m;15;10
261;rivers_america;n;2;80
262;rivers_america;o;2;80
263;rivers_america;p;9;20
264;rivers_america;q;1;150
265;rivers_america;r;5;30
266;rivers_america;s;14;10
267;rivers_america;t;6;30
268;rivers_america;u;1;150
269;rivers_america;v;2;80
270;rivers_america;w;2;80
271;rivers_america;y;3;50
272;rivers_america;z;2;80
280;rivers_asia;a;2;40
281;rivers_asia;b;5;20
282;rivers_asia;c;5;20
283;rivers_asia;d;3;30
284;rivers_asia;e;1;80
285;rivers_asia;g;2;40
286;rivers_asia;i;1;80
287;rivers_asia;j;1;80
288;rivers_asia;k;6;10
289;rivers_asia;l;6;10
290;rivers_asia;m;8;10
291;rivers_asia;n;3;30
292;rivers_asia;o;5;20
293;rivers_asia;r;3;30
294;rivers_asia;s;7;10
295;rivers_asia;t;3;30
296;rivers_asia;u;2;40
297;rivers_asia;v;1;80
298;rivers_asia;w;3;30
299;rivers_asia;z;1;80
311;rivers_australia;a;20;50
312;rivers_australia;b;92;10
313;rivers_australia;c;73;10
314;rivers_australia;d;34;30
315;rivers_australia;e;16;60
316;rivers_australia;f;12;80
317;rivers_australia;g;34;30
318;rivers_australia;h;22;40
319;rivers_australia;i;9;100
320;rivers_australia;j;17;50
321;rivers_australia;k;19;50
322;rivers_australia;l;37;20
323;rivers_australia;m;72;10
324;rivers_australia;n;28;30
325;rivers_australia;o;13;70
326;rivers_australia;p;33;30
327;rivers_australia;q;5;180
328;rivers_australia;r;18;50
329;rivers_australia;s;31;30
330;rivers_australia;t;39;20
331;rivers_australia;u;2;460
332;rivers_australia;v;1;920
333;rivers_australia;w;51;20
334;rivers_australia;y;17;50
342;rivers_europe;a;25;20
343;rivers_europe;b;23;20
344;rivers_europe;c;15;40
345;rivers_europe;d;14;40
346;rivers_europe;e;12;50
347;rivers_europe;f;4;140
348;rivers_europe;g;11;50
349;rivers_europe;h;6;90
350;rivers_europe;i;12;50
351;rivers_europe;j;4;140
352;rivers_europe;k;19;30
353;rivers_europe;l;33;20
354;rivers_europe;m;21;30
355;rivers_europe;n;14;40
356;rivers_europe;o;26;20
357;rivers_europe;p;19;30
358;rivers_europe;r;12;50
359;rivers_europe;s;54;10
360;rivers_europe;t;31;20
361;rivers_europe;u;9;60
362;rivers_europe;v;26;20
363;rivers_europe;w;10;50
364;rivers_europe;y;7;80
365;rivers_europe;z;5;110
373;seas;a;13;1
374;seas;b;18;1
375;seas;c;18;1
376;seas;d;5;4
377;seas;e;4;5
378;seas;f;3;6
379;seas;g;4;5
380;seas;h;3;6
381;seas;i;2;9
382;seas;j;3;6
383;seas;k;4;5
384;seas;l;7;3
385;seas;m;6;3
386;seas;n;2;9
387;seas;o;3;6
388;seas;p;4;5
389;seas;s;14;1
390;seas;t;5;4
391;seas;v;2;9
392;seas;w;3;6
393;seas;y;1;18
404;vegetables;a;8;30
405;vegetables;b;15;10
406;vegetables;c;21;10
407;vegetables;d;3;70
408;vegetables;e;2;110
409;vegetables;f;5;40
410;vegetables;g;7;30
411;vegetables;h;4;50
412;vegetables;j;2;110
413;vegetables;k;3;70
414;vegetables;l;7;30
415;vegetables;m;8;30
416;vegetables;n;3;70
417;vegetables;o;3;70
418;vegetables;p;13;20
419;vegetables;r;9;20
420;vegetables;s;17;10
421;vegetables;t;8;30
422;vegetables;w;4;50
423;vegetables;y;1;210
424;vegetables;z;2;110
